Voornaam;Naam;Affiliatie;E-mail;Website;DCATAPVL
Bert;Van Nuffelen;Digitaal Vlaanderen;;;E
Geraldine;Nolf;Digitaal Vlaanderen;;;A
Eveline;Vlassenroot;Digitaal Vlaanderen;;;E
Tom;Callens;Digitaal Vlaanderen;;;C
Loes;Deventer;Digitaal Vlaanderen;;;C
Wim;Joostens;Digitaal Vlaanderen;;;C
Eline;Deweirdt;Digitaal Vlaanderen;;;C
Dirk;De Baere;Digitaal Vlaanderen;;;A
Mathias;De Schrijver;Digitaal Vlaanderen;;;A
An;Heirman;GIM;;;C
Mathieu;Chaussier;GIM;;;C
Bart;Hanssens ;Federale Overheidsdienst Beleid en Ondersteuning;;;C
Benoît;Fricheteau;Federale Overheidsdienst Financiën;;;C
Dietger;Cleuren;Agentschap Wegen en Verkeer;;;C
Kim;Duyvejonck;Agentschap Wegen en Verkeer;;;C
Frederik;D'Haemer;District09;;;C
Geert;Limpens;District10;;;C
Pieter;Fannes;Departement Omgeving;;;C
Geert;Van Haute;Departement Omgeving;;;C
Joran;Van Daele;Stad Gent;;;C
Havenbedrijf;Antwerpen;;;;C
Inge;Lemmens;Havenbedrijf Antwerpen;;;C
Niels;Vandekeybus;RedPencil;;;C
Werkplaats;Immaterieel Erfgoed;;;;C
Shana;Van Hauwermeiren;Werkplaats Immaterieel Erfgoed;;;C
Stéphane;Coelis;DXC.technology;;;C
Provincie;Antwerpen;;;;C
Susy;Van Baelen; Provincie Antwerpen;;;C
Tim;Coninx;De Lijn;;;C
Vicky;Verscheijden;Stad Tongeren;;;C
Myriam;Buyse;;;;C
Willy;Smeulders;;;;C
